labelKey	variant	fontFace	lineIndex	glyphIndex	glyph	baselineMapX	baselineMapY	rotationDegrees	fontScaleMapUnits
water.hudson-bay	DEFAULT	SERIF	0	4	O	-83.77463142033086	59.38692430424129	-3.7624385	4.4464864E-4
water.hudson-bay	DEFAULT	SERIF	0	5	N	-82.54360465116281	59.30597014925373	-3.7624385	4.4464864E-4
water.hudson-bay	DEFAULT	SERIF	1	0	B	-81.08284883720933	58.35820895522388	-1.6475868	2.9643244E-4
water.hudson-bay	DEFAULT	SERIF	1	1	A	-80.05686986987604	58.36030014288973	1.9219934	2.9643244E-4
water.hudson-bay	DEFAULT	SERIF	1	2	Y	-79.01162790697674	58.482587064676615	8.4530115	2.9643244E-4
political.british-empire	DEFAULT	SERIF	0	0	B	-21.039244186046517	54.84825870646766	-0.31047225	5.064054E-4
political.british-empire	DEFAULT	SERIF	0	1	R	-19.633216775127458	54.840639702342806	-0.31047225	5.064054E-4
political.british-empire	DEFAULT	SERIF	0	2	I	-18.17360590759695	54.832730339314715	-0.31047225	5.064054E-4
political.british-empire	DEFAULT	SERIF	0	3	T	-16.87261908225747	54.82568053081762	-0.31047225	5.064054E-4
political.british-empire	DEFAULT	SERIF	0	4	I	-15.43129463245944	54.817870258526355	-0.31047225	5.064054E-4
political.british-empire	DEFAULT	SERIF	0	5	S	-14.13030780711996	54.810820450029254	-0.31047225	5.064054E-4
political.british-empire	DEFAULT	SERIF	0	6	H	-12.776162790697697	54.80348258706467	-0.31047225	5.064054E-4
political.british-empire	DEFAULT	SERIF	1	0	E	-21.25726744186045	53.266169154228855	1.0413557	4.6935136E-4
political.british-empire	DEFAULT	SERIF	1	1	M	-19.85855178725147	53.29159373234892	1.0413557	4.6935136E-4
political.british-empire	DEFAULT	SERIF	1	2	P	-18.307064318813424	53.30999828507054	0.5621516	4.6935136E-4
political.british-empire	DEFAULT	SERIF	1	3	I	-16.913583398416254	53.31702487282113	0.08011306	4.6935136E-4
political.british-empire	DEFAULT	SERIF	1	4	R	-15.616116538871868	53.31624726672477	-0.40154317	4.6935136E-4
political.british-empire	DEFAULT	SERIF	1	5	E	-14.149709302325562	53.30597014925373	-0.40154317	4.6935136E-4
water.atlantic	DEFAULT	SERIF	0	0	A	-48.91504970500595	36.20107769047946	-48.253838	0.0033599362
water.atlantic	DEFAULT	SERIF	0	1	T	-45.32567157718317	32.17897700654536	-48.253838	0.0033599362
water.atlantic	DEFAULT	SERIF	0	2	L	-41.76614691819344	28.190328818636456	-48.253838	0.0033599362
water.atlantic	DEFAULT	SERIF	0	3	A	-38.323322182823766	24.332449478826028	-48.253838	0.0033599362
water.atlantic	DEFAULT	SERIF	0	4	N	-34.73394405500098	20.310348794891922	-48.253838	0.0033599362
water.atlantic	DEFAULT	SERIF	0	5	T	-31.008868341573503	16.136191310843333	-48.253838	0.0033599362
water.atlantic	DEFAULT	SERIF	0	6	I	-27.449343682583766	12.147543122934424	-48.253838	0.0033599362
water.atlantic	DEFAULT	SERIF	0	7	C	-25.05341910224089	8.195837689036768	-65.74616	0.0033599362
water.atlantic	DEFAULT	SERIF	0	8	\s	-22.82390973134297	3.2473955369383605	-65.74616	0.0033599362
water.atlantic	DEFAULT	SERIF	0	9	O	-21.021360215335225	-0.7534003897339265	-65.74616	0.0033599362
water.atlantic	DEFAULT	SERIF	0	10	C	-18.747480506576167	-5.8003234240824995	-65.74616	0.0033599362
water.atlantic	DEFAULT	SERIF	0	11	E	-16.51797113567825	-10.748765576180903	-65.74616	0.0033599362
water.atlantic	DEFAULT	SERIF	0	12	A	-14.410689487944964	-15.425920769627911	-65.74616	0.0033599362
water.atlantic	DEFAULT	SERIF	0	13	N	-12.196249288396107	-20.340916584358343	-65.74616	0.0033599362
water.north-atlantic	DEFAULT	SERIF	0	0	N	-48.91072988620542	45.42946351681518	2.8624053	0.0013902681
water.north-atlantic	DEFAULT	SERIF	0	1	O	-43.04926643621886	45.722536683751784	2.8624053	0.0013902681
water.north-atlantic	DEFAULT	SERIF	0	2	R	-37.2665309288346	45.988326546441726	-2.8624053	0.0013902681
water.north-atlantic	DEFAULT	SERIF	0	3	T	-31.619533253523237	45.70597666823889	-2.8624053	0.0013902681
water.north-atlantic	DEFAULT	SERIF	0	4	H	-26.08927011379458	45.42946351681518	-2.8624053	0.0013902681
water.north-atlantic	DEFAULT	SERIF	1	0	A	-49.461119321124094	34.57841847008287	2.202598	0.0014399205
water.north-atlantic	DEFAULT	SERIF	1	1	T	-46.20372397412559	34.70370291152481	2.202598	0.0014399205
water.north-atlantic	DEFAULT	SERIF	1	2	L	-42.99422375907835	34.82714523250708	2.202598	0.0014399205
water.north-atlantic	DEFAULT	SERIF	1	3	A	-39.9719499689315	34.94338653714703	2.202598	0.0014399205
water.north-atlantic	DEFAULT	SERIF	1	4	N	-36.714554621932976	34.931329021411045	-2.202598	0.0014399205
water.north-atlantic	DEFAULT	SERIF	1	5	T	-33.23945412970147	34.797671305152456	-2.202598	0.0014399205
water.north-atlantic	DEFAULT	SERIF	1	6	I	-30.02995391465422	34.674228984170185	-2.202598	0.0014399205
water.north-atlantic	DEFAULT	SERIF	1	7	C	-27.538880678875906	34.57841847008287	-2.202598	0.0014399205
water.north-atlantic	DEFAULT	SERIF	2	0	O	-45.913240962054175	23.477042161926658	3.17983	0.0013902681
water.north-atlantic	DEFAULT	SERIF	2	1	C	-40.747695370959974	23.7640169204115	3.17983	0.0013902681
water.north-atlantic	DEFAULT	SERIF	2	2	E	-35.72288068272493	24.0	0.0	0.0013902681
water.north-atlantic	DEFAULT	SERIF	2	3	A	-31.083088639794198	24.0	0.0	0.0013902681
water.north-atlantic	DEFAULT	SERIF	2	4	N	-26.1	24.0	0.0	0.0013902681
water.mediterranean	DEFAULT	SERIF	0	0	M	4.827096149208678	39.33549264480993	-10.305716	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	1	E	6.642321133714759	39.005423290181454	-10.305716	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	2	D	7.957477630513562	38.766283316191874	-10.305716	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	3	I	9.554571850352076	38.47587751929015	-10.305716	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	4	T	10.537338610514587	38.29717725231279	-10.305716	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	5	E	12.009786679114491	38.02943634554065	-10.305716	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	6	R	13.32494317591329	37.79029637155107	-10.305716	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	7	R	14.86119820288534	37.51095319959356	-10.305716	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	8	A	16.391297473112157	37.20421350485381	-15.021365	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	9	N	17.86879699649252	36.80772814298468	-15.021365	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	10	E	19.491964285776227	36.372152997370215	-15.021365	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	11	A	20.7830090688003	36.02570255869513	-15.021365	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	12	N	22.26050859218066	35.629217196826005	-15.021365	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	13	\s	23.88367588146437	35.19364205121153	-15.021365	0.0010427011
